INSTRUCTION DUMP FROM 1 TO 517

  LOC    NUM INSTRUCT   SUB        FLD IDENT
   98      7 CntrBeg       0        139 v
   99     11 String        0          1
  100     12 Index         0          1
  101      2 Push          0        153 Y
  102     12 Index         0          1
  103      2 Push          0        146 coste_vehiculo
  104      4 MultOp        0          0
  105     30 SumOp         0          0
  106      8 CntrEnd       0          0
  107      2 Push          0        143 max_coste
  108      5 UnMinOp       0          0
  109     42 EquOp         1          0
  110     15 DefOp         0        164 lim_provisiones
  111     16 DefEnd        0        164 lim_provisiones
  112      1 UnitEnd       0          0

  113      0 UnitBeg       1        124
  114     14 DefBeg        0        165 flujo_nulo
  115      7 CntrBeg       0        138 j
  116      7 CntrBeg       0        139 v
  117     25 Ord           0          1
  118     21 Immed         0          9  1.00000000000000E+0000
  119     38 RelOp         1          0
  120     25 Ord           0          1
  121     21 Immed         0          0
  122     22 Real1                   4.00000000000000E+0000
  123     23 Real2      
  124     38 RelOp         4          0
  125     40 AndOp         0          0
  126      9 CntrJmp       0          0
  127     12 Index         0          1
  128     12 Index         0          2
  129     55 EndLhs        0          0
  130     12 Index         0          1
  131     12 Index         0          2
  132      2 Push          0        153 Y
  133     21 Immed         0         10  0.00000000000000E+0000
  134     42 EquOp         0          0
  135     15 DefOp         0        165 flujo_nulo
  136      8 CntrEnd       0          2
  137      8 CntrEnd       0          1
  138     16 DefEnd        0        165 flujo_nulo
  139      1 UnitEnd       0          0

  140      0 UnitBeg       1        126
  141     14 DefBeg        0        166 flujo_destinos
  142      7 CntrBeg       0        138 j
  143      7 CntrBeg       0        139 v
  144     25 Ord           0          1
  145     21 Immed         0          0
  146     22 Real1                   5.00000000000000E+0000
  147     23 Real2      
  148     38 RelOp         2          0
  149      9 CntrJmp       0          0
  150     12 Index         0          1
  151     12 Index         0          2
  152     55 EndLhs        0          0
  153     12 Index         0          1
  154     12 Index         0          2
  155      2 Push          0        153 Y
  156     21 Immed         0         10  0.00000000000000E+0000
  157     42 EquOp         1          0
  158     15 DefOp         0        166 flujo_destinos
  159      8 CntrEnd       0          2
  160      8 CntrEnd       0          1
  161     16 DefEnd        0        166 flujo_destinos
  162      1 UnitEnd       0          0

  163      0 UnitBeg       1        128
  164     14 DefBeg        0        167 existencia_ruta
  165      7 CntrBeg       0        140 i
  166      7 CntrBeg       0        138 j
  167      7 CntrBeg       0        139 v
  168     12 Index         0          1
  169     12 Index         0          2
  170     12 Index         0          3
  171     55 EndLhs        0          0
  172     12 Index         0          1
  173     12 Index         0          2
  174     12 Index         0          3
  175      2 Push          0        151 Xmas
  176     12 Index         0          1
  177     12 Index         0          2
  178     12 Index         0          3
  179      2 Push          0        152 Xmenos
  180      6 AddOp         1          0
  181     21 Immed         0          0
  182     22 Real1                   9.90000000000000E+0001
  183     23 Real2      
  184     12 Index         0          1
  185     12 Index         0          2
  186      2 Push          0        148 E
  187      4 MultOp        0          0
  188     42 EquOp         2          0
  189     15 DefOp         0        167 existencia_ruta
  190      8 CntrEnd       0          3
  191      8 CntrEnd       0          2
  192      8 CntrEnd       0          1
  193     16 DefEnd        0        167 existencia_ruta
  194      1 UnitEnd       0          0

  195      0 UnitBeg       1        129
  196     14 DefBeg        0        168 usabilidad_ruta
  197      7 CntrBeg       0        140 i
  198      7 CntrBeg       0        138 j
  199      7 CntrBeg       0        139 v
  200     12 Index         0          1
  201     12 Index         0          2
  202     12 Index         0          3
  203     55 EndLhs        0          0
  204     12 Index         0          1
  205     12 Index         0          2
  206     12 Index         0          3
  207      2 Push          0        151 Xmas
  208     12 Index         0          1
  209     12 Index         0          2
  210     12 Index         0          3
  211      2 Push          0        152 Xmenos
  212      6 AddOp         1          0
  213     21 Immed         0          0
  214     22 Real1                   9.90000000000000E+0001
  215     23 Real2      
  216     12 Index         0          1
  217     12 Index         0          2
  218      2 Push          0        149 U
  219     12 Index         0          1
  220     12 Index         0          2
  221      2 Push          0        156 H
  222      6 AddOp         0          0
  223      4 MultOp        0          0
  224     42 EquOp         2          0
  225     15 DefOp         0        168 usabilidad_ruta
  226      8 CntrEnd       0          3
  227      8 CntrEnd       0          2
  228      8 CntrEnd       0          1
  229     16 DefEnd        0        168 usabilidad_ruta
  230      1 UnitEnd       0          0

  231      0 UnitBeg       1        130
  232     14 DefBeg        0        169 existencia_ruta_min
  233      7 CntrBeg       0        140 i
  234      7 CntrBeg       0        138 j
  235      7 CntrBeg       0        139 v
  236     12 Index         0          1
  237     12 Index         0          2
  238     12 Index         0          3
  239     55 EndLhs        0          0
  240     12 Index         0          1
  241     12 Index         0          2
  242     12 Index         0          3
  243      2 Push          0        151 Xmas
  244     12 Index         0          1
  245     12 Index         0          2
  246     12 Index         0          3
  247      2 Push          0        152 Xmenos
  248      6 AddOp         1          0
  249     21 Immed         0          0
  250     22 Real1                   9.90000000000000E+0001
  251     23 Real2      
  252     12 Index         0          1
  253     12 Index         0          2
  254      2 Push          0        148 E
  255      4 MultOp        0          0
  256      5 UnMinOp       0          0
  257     42 EquOp         1          0
  258     15 DefOp         0        169 existencia_ruta_min
  259      8 CntrEnd       0          3
  260      8 CntrEnd       0          2
  261      8 CntrEnd       0          1
  262     16 DefEnd        0        169 existencia_ruta_min
  263      1 UnitEnd       0          0

  264      0 UnitBeg       1        131
  265     14 DefBeg        0        170 usabilidad_ruta_min
  266      7 CntrBeg       0        140 i
  267      7 CntrBeg       0        138 j
  268      7 CntrBeg       0        139 v
  269     12 Index         0          1
  270     12 Index         0          2
  271     12 Index         0          3
  272     55 EndLhs        0          0
  273     12 Index         0          1
  274     12 Index         0          2
  275     12 Index         0          3
  276      2 Push          0        151 Xmas
  277     12 Index         0          1
  278     12 Index         0          2
  279     12 Index         0          3
  280      2 Push          0        152 Xmenos
  281      6 AddOp         1          0
  282     21 Immed         0          0
  283     22 Real1                   9.90000000000000E+0001
  284     23 Real2      
  285     12 Index         0          1
  286     12 Index         0          2
  287      2 Push          0        149 U
  288     12 Index         0          1
  289     12 Index         0          2
  290      2 Push          0        156 H
  291      6 AddOp         0          0
  292      4 MultOp        0          0
  293      5 UnMinOp       0          0
  294     42 EquOp         1          0
  295     15 DefOp         0        170 usabilidad_ruta_min
  296      8 CntrEnd       0          3
  297      8 CntrEnd       0          2
  298      8 CntrEnd       0          1
  299     16 DefEnd        0        170 usabilidad_ruta_min
  300      1 UnitEnd       0          0

  301      0 UnitBeg       1        132
  302     14 DefBeg        0        171 lim_puentes
  303     55 EndLhs        0          0
  304     29 SumBeg        0          0
  305      7 CntrBeg       0        140 i
  306     29 SumBeg        0          0
  307      7 CntrBeg       0        138 j
  308     12 Index         0          1
  309     12 Index         0          2
  310      2 Push          0        156 H
  311     30 SumOp         0          0
  312      8 CntrEnd       0          0
  313     30 SumOp         0          0
  314      8 CntrEnd       0          0
  315      2 Push          0        144 max_puentes
  316     42 EquOp         2          0
  317     15 DefOp         0        171 lim_puentes
  318     16 DefEnd        0        171 lim_puentes
  319      1 UnitEnd       0          0

  320      0 UnitBeg       1        134
  321     14 DefBeg        0        172 arco_usado
  322      7 CntrBeg       0        140 i
  323      7 CntrBeg       0        138 j
  324     12 Index         0          1
  325     12 Index         0          2
  326     55 EndLhs        0          0
  327     21 Immed         0          0
  328     22 Real1                   9.90000000000000E+0001
  329     23 Real2      
  330     12 Index         0          1
  331     12 Index         0          2
  332      2 Push          0        157 Used
  333      4 MultOp        0          0
  334     29 SumBeg        0          0
  335      7 CntrBeg       0        139 v
  336     12 Index         0          1
  337     12 Index         0          2
  338     12 Index         0          3
  339      2 Push          0        151 Xmas
  340     12 Index         0          1
  341     12 Index         0          2
  342     12 Index         0          3
  343      2 Push          0        152 Xmenos
  344      6 AddOp         0          0
  345     30 SumOp         0          0
  346      8 CntrEnd       0          0
  347     42 EquOp         1          0
  348     15 DefOp         0        172 arco_usado
  349      8 CntrEnd       0          2
  350      8 CntrEnd       0          1
  351     16 DefEnd        0        172 arco_usado
  352      1 UnitEnd       0          0

  353      0 UnitBeg       1        135
  354     14 DefBeg        0        173 arco_usado_orientacion
  355      7 CntrBeg       0        140 i
  356      7 CntrBeg       0        138 j
  357     12 Index         0          1
  358     12 Index         0          2
  359     55 EndLhs        0          0
  360     12 Index         0          1
  361     12 Index         0          2
  362      2 Push          0        157 Used
  363     12 Index         0          2
  364     12 Index         0          1
  365      2 Push          0        157 Used
  366     42 EquOp         0          0
  367     15 DefOp         0        173 arco_usado_orientacion
  368      8 CntrEnd       0          2
  369      8 CntrEnd       0          1
  370     16 DefEnd        0        173 arco_usado_orientacion
  371      1 UnitEnd       0          0

  372      0 UnitBeg       1        136
  373     14 DefBeg        0        174 fiabilidad
  374     55 EndLhs        0          0
  375     29 SumBeg        0          0
  376      7 CntrBeg       0        140 i
  377     29 SumBeg        0          0
  378      7 CntrBeg       0        138 j
  379     12 Index         0          1
  380     12 Index         0          2
  381      2 Push          0        157 Used
  382     12 Index         0          1
  383     12 Index         0          2
  384      2 Push          0        150 P
  385     28 Funct         1         50 log2
  386      4 MultOp        0          0
  387     30 SumOp         0          0
  388      8 CntrEnd       0          0
  389     30 SumOp         0          0
  390      8 CntrEnd       0          0
  391      2 Push          0        147 P_total
  392     28 Funct         1         50 log2
  393     42 EquOp         1          0
  394     15 DefOp         0        174 fiabilidad
  395     16 DefEnd        0        174 fiabilidad
  396      1 UnitEnd       0          0

  397      0 UnitBeg       1        138
  398     14 DefBeg        0        175 def_insatisaux
  399      7 CntrBeg       0        138 j
  400     25 Ord           0          1
  401     21 Immed         0          0
  402     22 Real1                   5.00000000000000E+0000
  403     23 Real2      
  404     38 RelOp         2          0
  405      9 CntrJmp       0          0
  406     12 Index         0          1
  407     55 EndLhs        0          0
  408      2 Push          0        159 Insatisaux
  409     12 Index         0          1
  410      2 Push          0        142 dem
  411     12 Index         0          1
  412      2 Push          0        154 Z_
  413      6 AddOp         1          0
  414     42 EquOp         1          0
  415     15 DefOp         0        175 def_insatisaux
  416      8 CntrEnd       0          1
  417     16 DefEnd        0        175 def_insatisaux
  418      1 UnitEnd       0          0

  419      0 UnitBeg       1        140
  420     14 DefBeg        0        176 def_auxZ1
  421      7 CntrBeg       0        138 j
  422     25 Ord           0          1
  423     21 Immed         0          0
  424     22 Real1                   5.00000000000000E+0000
  425     23 Real2      
  426     38 RelOp         2          0
  427      9 CntrJmp       0          0
  428     12 Index         0          1
  429     55 EndLhs        0          0
  430     12 Index         0          1
  431      2 Push          0        155 auxZ
  432     21 Immed         0          0
  433     22 Real1                   9.90000000000000E+0001
  434     23 Real2      
  435     12 Index         0          1
  436      2 Push          0        154 Z_
  437      4 MultOp        0          0
  438     42 EquOp         2          0
  439     15 DefOp         0        176 def_auxZ1
  440      8 CntrEnd       0          1
  441     16 DefEnd        0        176 def_auxZ1
  442      1 UnitEnd       0          0

  443      0 UnitBeg       1        141
  444     14 DefBeg        0        177 def_auxZ2
  445      7 CntrBeg       0        138 j
  446     25 Ord           0          1
  447     21 Immed         0          0
  448     22 Real1                   4.00000000000000E+0000
  449     23 Real2      
  450     38 RelOp         4          0
  451      9 CntrJmp       0          0
  452     12 Index         0          1
  453     55 EndLhs        0          0
  454     12 Index         0          1
  455      2 Push          0        155 auxZ
  456     21 Immed         0         10  0.00000000000000E+0000
  457     42 EquOp         0          0
  458     15 DefOp         0        177 def_auxZ2
  459      8 CntrEnd       0          1
  460     16 DefEnd        0        177 def_auxZ2
  461      1 UnitEnd       0          0

  462      0 UnitBeg       1        143
  463     14 DefBeg        0        178 def_Z_
  464      7 CntrBeg       0        138 j
  465     12 Index         0          1
  466     55 EndLhs        0          0
  467     12 Index         0          1
  468      2 Push          0        154 Z_
  469     29 SumBeg        0          0
  470      7 CntrBeg       0        139 v
  471     12 Index         0          1
  472     12 Index         0          2
  473      2 Push          0        153 Y
  474     12 Index         0          2
  475      2 Push          0        145 capacidad_vehiculo
  476      4 MultOp        0          0
  477     30 SumOp         0          0
  478      8 CntrEnd       0          0
  479     42 EquOp         0          0
  480     15 DefOp         0        178 def_Z_
  481      8 CntrEnd       0          1
  482     16 DefEnd        0        178 def_Z_
  483      1 UnitEnd       0          0

  484      0 UnitBeg       1        145
  485     14 DefBeg        0        180 f_eq
  486     55 EndLhs        0          0
  487      2 Push          0        160 Eq
  488     29 SumBeg        0          0
  489      7 CntrBeg       0        138 j
  490     12 Index         0          1
  491      2 Push          0        155 auxZ
  492     30 SumOp         0          0
  493      8 CntrEnd       0          0
  494     42 EquOp         0          0
  495     15 DefOp         0        180 f_eq
  496     16 DefEnd        0        180 f_eq
  497      1 UnitEnd       0          0

  498      0 UnitBeg       1        146
  499     14 DefBeg        0        179 f_insatis
  500     55 EndLhs        0          0
  501      2 Push          0        158 Insatis
  502     29 SumBeg        0          0
  503      7 CntrBeg       0        138 j
  504      2 Push          0        159 Insatisaux
  505     30 SumOp         0          0
  506      8 CntrEnd       0          0
  507     42 EquOp         0          0
  508     15 DefOp         0        179 f_insatis
  509     16 DefEnd        0        179 f_insatis
  510      1 UnitEnd       0          0
  511     54 SetLin        0        150
  512     43 Solve1        0        181 modelo1
  513     44 Solve2        2        158 Insatis
  514     54 SetLin        0        151
  515     43 Solve1        1        181 modelo1
  516     44 Solve2        2        160 Eq
  517     56 ProgEnd       0          0

MODEL LISTS

ENTRY                               ID  TYPE   LENGTH
  181                          modelo1  MODEL      20
    161                        definir_Y  EQU  
    162            solo_arcos_buenos_mas  EQU  
    163          solo_arcos_buenos_menos  EQU  
    164                  lim_provisiones  EQU  
    165                       flujo_nulo  EQU  
    166                   flujo_destinos  EQU  
    167                  existencia_ruta  EQU  
    168                  usabilidad_ruta  EQU  
    169              existencia_ruta_min  EQU  
    170              usabilidad_ruta_min  EQU  
    171                      lim_puentes  EQU  
    172                       arco_usado  EQU  
    173           arco_usado_orientacion  EQU  
    174                       fiabilidad  EQU  
    175                   def_insatisaux  EQU  
    176                        def_auxZ1  EQU  
    177                        def_auxZ2  EQU  
    178                           def_Z_  EQU  
    179                        f_insatis  EQU  
    180                             f_eq  EQU  
