INSTRUCTION DUMP FROM 1 TO 332

  LOC    NUM INSTRUCT   SUB        FLD IDENT
  102     15 DefOp         0        162 definir_auxZ
  103      8 CntrEnd       0          1
  104     16 DefEnd        0        162 definir_auxZ
  105      1 UnitEnd       0          0

  106      0 UnitBeg       1        108
  107     14 DefBeg        0        163 lim_salida
  108      7 CntrBeg       0        138 j
  109      7 CntrBeg       0        139 t
  110      7 CntrBeg       0        140 v
  111     12 Index         0          1
  112     12 Index         0          2
  113     12 Index         0          3
  114     55 EndLhs        0          0
  115     29 SumBeg        0          0
  116      7 CntrBeg       0        141 i
  117     12 Index         0          1
  118     12 Index         0          4
  119     12 Index         0          2
  120     12 Index         0          3
  121      2 Push          0        150 X
  122     30 SumOp         0          0
  123      8 CntrEnd       0          0
  124     12 Index         0          1
  125     21 Immed         0          9  1.00000000000000E+0000
  126     13 LagIndx       1          2
  127     12 Index         0          3
  128      2 Push          0        151 Y
  129     42 EquOp         2          0
  130     15 DefOp         0        163 lim_salida
  131      8 CntrEnd       0          3
  132      8 CntrEnd       0          2
  133      8 CntrEnd       0          1
  134     16 DefEnd        0        163 lim_salida
  135      1 UnitEnd       0          0

  136      0 UnitBeg       1        109
  137     14 DefBeg        0        164 flujo_ini
  138      7 CntrBeg       0        138 j
  139      7 CntrBeg       0        140 v
  140     25 Ord           0          1
  141     21 Immed         0          9  1.00000000000000E+0000
  142     38 RelOp         1          0
  143      9 CntrJmp       0          0
  144     12 Index         0          1
  145     12 Index         0          2
  146     55 EndLhs        0          0
  147     12 Index         0          1
  148     11 String        0          1
  149     12 Index         0          2
  150      2 Push          0        151 Y
  151     21 Immed         0         10  0.00000000000000E+0000
  152     42 EquOp         0          0
  153     15 DefOp         0        164 flujo_ini
  154      8 CntrEnd       0          2
  155      8 CntrEnd       0          1
  156     16 DefEnd        0        164 flujo_ini
  157      1 UnitEnd       0          0

  158      0 UnitBeg       1        110
  159     14 DefBeg        0        165 flujo_ini_0
  160     55 EndLhs        0          0
  161     29 SumBeg        0          0
  162      7 CntrBeg       0        140 v
  163     11 String        0          1
  164     11 String        0          1
  165     12 Index         0          1
  166      2 Push          0        151 Y
  167     12 Index         0          1
  168      2 Push          0        147 coste_vehiculo
  169      4 MultOp        0          0
  170     30 SumOp         0          0
  171      8 CntrEnd       0          0
  172      2 Push          0        144 max_coste
  173     42 EquOp         2          0
  174     15 DefOp         0        165 flujo_ini_0
  175     16 DefEnd        0        165 flujo_ini_0
  176      1 UnitEnd       0          0

  177      0 UnitBeg       1        111
  178     14 DefBeg        0        166 existencia_ruta
  179      7 CntrBeg       0        141 i
  180      7 CntrBeg       0        138 j
  181      7 CntrBeg       0        139 t
  182      7 CntrBeg       0        140 v
  183     12 Index         0          1
  184     12 Index         0          2
  185     12 Index         0          3
  186     12 Index         0          4
  187     55 EndLhs        0          0
  188     12 Index         0          1
  189     12 Index         0          2
  190     12 Index         0          3
  191     12 Index         0          4
  192      2 Push          0        150 X
  193     21 Immed         0          0
  194     22 Real1                   9.90000000000000E+0001
  195     23 Real2      
  196     12 Index         0          1
  197     12 Index         0          2
  198      2 Push          0        148 E
  199      4 MultOp        0          0
  200     42 EquOp         2          0
  201     15 DefOp         0        166 existencia_ruta
  202      8 CntrEnd       0          4
  203      8 CntrEnd       0          3
  204      8 CntrEnd       0          2
  205      8 CntrEnd       0          1
  206     16 DefEnd        0        166 existencia_ruta
  207      1 UnitEnd       0          0

  208      0 UnitBeg       1        112
  209     14 DefBeg        0        167 usabilidad_ruta
  210      7 CntrBeg       0        141 i
  211      7 CntrBeg       0        138 j
  212      7 CntrBeg       0        139 t
  213      7 CntrBeg       0        140 v
  214     12 Index         0          1
  215     12 Index         0          2
  216     12 Index         0          3
  217     12 Index         0          4
  218     55 EndLhs        0          0
  219     12 Index         0          1
  220     12 Index         0          2
  221     12 Index         0          3
  222     12 Index         0          4
  223      2 Push          0        150 X
  224     21 Immed         0          0
  225     22 Real1                   9.90000000000000E+0001
  226     23 Real2      
  227     12 Index         0          1
  228     12 Index         0          2
  229      2 Push          0        149 U
  230     12 Index         0          1
  231     12 Index         0          2
  232      2 Push          0        155 H
  233      6 AddOp         0          0
  234      4 MultOp        0          0
  235     42 EquOp         2          0
  236     15 DefOp         0        167 usabilidad_ruta
  237      8 CntrEnd       0          4
  238      8 CntrEnd       0          3
  239      8 CntrEnd       0          2
  240      8 CntrEnd       0          1
  241     16 DefEnd        0        167 usabilidad_ruta
  242      1 UnitEnd       0          0

  243      0 UnitBeg       1        113
  244     14 DefBeg        0        168 orientacion
  245      7 CntrBeg       0        141 i
  246      7 CntrBeg       0        138 j
  247     12 Index         0          1
  248     12 Index         0          2
  249     55 EndLhs        0          0
  250     12 Index         0          1
  251     12 Index         0          2
  252      2 Push          0        155 H
  253     12 Index         0          2
  254     12 Index         0          1
  255      2 Push          0        155 H
  256     42 EquOp         0          0
  257     15 DefOp         0        168 orientacion
  258      8 CntrEnd       0          2
  259      8 CntrEnd       0          1
  260     16 DefEnd        0        168 orientacion
  261      1 UnitEnd       0          0

  262      0 UnitBeg       1        114
  263     14 DefBeg        0        169 lim_puentes
  264     55 EndLhs        0          0
  265     29 SumBeg        0          0
  266      7 CntrBeg       0        141 i
  267     29 SumBeg        0          0
  268      7 CntrBeg       0        138 j
  269     12 Index         0          1
  270     12 Index         0          2
  271      2 Push          0        155 H
  272     30 SumOp         0          0
  273      8 CntrEnd       0          0
  274     30 SumOp         0          0
  275      8 CntrEnd       0          0
  276      2 Push          0        145 max_puentes
  277     42 EquOp         2          0
  278     15 DefOp         0        169 lim_puentes
  279     16 DefEnd        0        169 lim_puentes
  280      1 UnitEnd       0          0

  281      0 UnitBeg       1        116
  282     14 DefBeg        0        170 lim_demanda
  283      7 CntrBeg       0        138 j
  284     12 Index         0          1
  285     55 EndLhs        0          0
  286     12 Index         0          1
  287      2 Push          0        153 Z_
  288     12 Index         0          1
  289      2 Push          0        143 dem
  290     42 EquOp         2          0
  291     15 DefOp         0        170 lim_demanda
  292      8 CntrEnd       0          1
  293     16 DefEnd        0        170 lim_demanda
  294      1 UnitEnd       0          0

  295      0 UnitBeg       1        118
  296     14 DefBeg        0        171 f_ayuda
  297     55 EndLhs        0          0
  298      2 Push          0        157 Ayuda
  299     29 SumBeg        0          0
  300      7 CntrBeg       0        138 j
  301     12 Index         0          1
  302      2 Push          0        153 Z_
  303     12 Index         0          1
  304      2 Push          0        143 dem
  305      6 AddOp         1          0
  306     30 SumOp         0          0
  307      8 CntrEnd       0          0
  308     42 EquOp         0          0
  309     15 DefOp         0        171 f_ayuda
  310     16 DefEnd        0        171 f_ayuda
  311      1 UnitEnd       0          0

  312      0 UnitBeg       1        119
  313     14 DefBeg        0        172 f_equidad
  314     55 EndLhs        0          0
  315      2 Push          0        158 Eq
  316     29 SumBeg        0          0
  317      7 CntrBeg       0        138 j
  318     12 Index         0          1
  319      2 Push          0        154 auxZ
  320     30 SumOp         0          0
  321      8 CntrEnd       0          0
  322     42 EquOp         0          0
  323     15 DefOp         0        172 f_equidad
  324     16 DefEnd        0        172 f_equidad
  325      1 UnitEnd       0          0
  326     54 SetLin        0        125
  327     43 Solve1        1        173 modelo1
  328     44 Solve2        2        157 Ayuda
  329     54 SetLin        0        127
  330     43 Solve1        1        173 modelo1
  331     44 Solve2        2        158 Eq
  332     56 ProgEnd       0          0

MODEL LISTS

ENTRY                               ID  TYPE   LENGTH
  173                          modelo1  MODEL      14
    159                        definir_Y  EQU  
    160                        definir_Z  EQU  
    161                       definir_Z_  EQU  
    162                     definir_auxZ  EQU  
    163                       lim_salida  EQU  
    164                        flujo_ini  EQU  
    165                      flujo_ini_0  EQU  
    166                  existencia_ruta  EQU  
    167                  usabilidad_ruta  EQU  
    168                      orientacion  EQU  
    169                      lim_puentes  EQU  
    170                      lim_demanda  EQU  
    171                          f_ayuda  EQU  
    172                        f_equidad  EQU  
